A1BG,1,11167,yes,A1bg,MGI:2152878,,1
ATG2A,23130,86985,yes,Atg2a,MGI:1916291,,4743
ATG2B,55102,9974,yes,Atg2b,MGI:1923809,,4744
ATG3,64422,6836,yes,Atg3,MGI:1915091,MP:0005397,4745
ATG3,64422,6836,yes,Atg3,MGI:1915091,MP:0010768,4746
ATG3,64422,6836,yes,Atg3,MGI:1915091,MP:0005387,4747
ATG3,64422,6836,yes,Atg3,MGI:1915091,MP:0005378,4748
ATG3,64422,6836,yes,Atg3,MGI:1915091,MP:0005379,4749
ATG3,64422,6836,yes,Atg3,MGI:1915091,MP:0005376,4750
ATG3,64422,6836,yes,Atg3,MGI:1915091,MP:0005384,4751
ATG4A,115201,70873,yes,Atg4a,MGI:2147903,,4752
ATG4B,23192,100868,yes,Atg4b,MGI:1913865,MP:0005384,4753
ATG4B,23192,100868,yes,Atg4b,MGI:1913865,MP:0005376,4754
ATG4B,23192,100868,yes,Atg4b,MGI:1913865,MP:0003631,4755
ATG4B,23192,100868,yes,Atg4b,MGI:1913865,MP:0005377,4756
ATG4B,23192,100868,yes,Atg4b,MGI:1913865,MP:0010768,4757
ATG4B,23192,100868,yes,Atg4b,MGI:1913865,MP:0005386,4758
ATG4C,84938,56296,yes,Atg4c,MGI:2651854,MP:0002006,4759
ATG4C,84938,56296,yes,Atg4c,MGI:2651854,MP:0005386,4760
ATG4C,84938,56296,yes,Atg4c,MGI:2651854,MP:0005384,4761
ATG4C,84938,56296,yes,Atg4c,MGI:2651854,MP:0005376,4762
ATG4D,84971,13156,yes,Atg4d,MGI:2444308,,4763
ATG5,9474,3566,yes,Atg5,MGI:1277186,MP:0005376,4764
ATG5,9474,3566,yes,Atg5,MGI:1277186,MP:0005384,4765
ATG5,9474,3566,yes,Atg5,MGI:1277186,MP:0005369,4766
ATG5,9474,3566,yes,Atg5,MGI:1277186,MP:0005379,4767
ATG5,9474,3566,yes,Atg5,MGI:1277186,MP:0005378,4768
ATG5,9474,3566,yes,Atg5,MGI:1277186,MP:0005386,4769
ATG5,9474,3566,yes,Atg5,MGI:1277186,MP:0005367,4770
ATG5,9474,3566,yes,Atg5,MGI:1277186,MP:0005387,4771
ATG5,9474,3566,yes,Atg5,MGI:1277186,MP:0005391,4772
ATG5,9474,3566,yes,Atg5,MGI:1277186,MP:0005381,4773
ATG5,9474,3566,yes,Atg5,MGI:1277186,MP:0003631,4774
ATG5,9474,3566,yes,Atg5,MGI:1277186,MP:0005377,4775
ATG5,9474,3566,yes,Atg5,MGI:1277186,MP:0005397,4776
ATG5,9474,3566,yes,Atg5,MGI:1277186,MP:0005385,4777
ATG5,9474,3566,yes,Atg5,MGI:1277186,MP:0002873,4778
ATG5,9474,3566,yes,Atg5,MGI:1277186,MP:0010768,4779
ATG5,9474,3566,yes,Atg5,MGI:1277186,MP:0005370,4780
ATG5,9474,3566,yes,Atg5,MGI:1277186,MP:0005388,4781
ATG7,10533,4662,yes,Atg7,MGI:1921494,MP:0005369,4782
ATG7,10533,4662,yes,Atg7,MGI:1921494,MP:0005384,4783
ATG7,10533,4662,yes,Atg7,MGI:1921494,MP:0005376,4784
ATG7,10533,4662,yes,Atg7,MGI:1921494,MP:0005378,4785
ATG7,10533,4662,yes,Atg7,MGI:1921494,MP:0005397,4786
ATG7,10533,4662,yes,Atg7,MGI:1921494,MP:0005385,4787
ATG7,10533,4662,yes,Atg7,MGI:1921494,MP:0002006,4788
ATG7,10533,4662,yes,Atg7,MGI:1921494,MP:0005379,4789
ATG7,10533,4662,yes,Atg7,MGI:1921494,MP:0005371,4790
ATG7,10533,4662,yes,Atg7,MGI:1921494,MP:0003631,4791
ATG7,10533,4662,yes,Atg7,MGI:1921494,MP:0005381,4792
ATG7,10533,4662,yes,Atg7,MGI:1921494,MP:0005387,4793
ATG7,10533,4662,yes,Atg7,MGI:1921494,MP:0005386,4794
ATG7,10533,4662,yes,Atg7,MGI:1921494,MP:0005370,4795
ATG7,10533,4662,yes,Atg7,MGI:1921494,MP:0010768,4796
ATG9A,79065,34495,yes,Atg9a,MGI:2138446,MP:0005384,4797
ATG9A,79065,34495,yes,Atg9a,MGI:2138446,MP:0010768,4798
ATG9A,79065,34495,yes,Atg9a,MGI:2138446,MP:0005387,4799
ATG9B,285973,72638,yes,Atg9b,MGI:2685420,,4800
ATIC,471,2983,yes,Atic,MGI:1351352,,4801
ATL1,51062,9302,yes,Atl1,MGI:1921241,MP:0005371,4802
ATL1,51062,9302,yes,Atl1,MGI:1921241,MP:0005386,4803
ATL2,64225,56949,yes,Atl2,MGI:1929492,MP:0005375,4804
ATL2,64225,56949,yes,Atl2,MGI:1929492,MP:0005387,4805
ATL2,64225,56949,yes,Atl2,MGI:1929492,MP:0010768,4806
ATL2,64225,56949,yes,Atl2,MGI:1929492,MP:0005397,4807
ATL3,25923,9149,yes,Atl3,MGI:1924270,,4808
ATM,472,30952,yes,Atm,MGI:107202,MP:0003631,4809
ATM,472,30952,yes,Atm,MGI:107202,MP:0005387,4810
ATM,472,30952,yes,Atm,MGI:107202,MP:0005380,4811
ATM,472,30952,yes,Atm,MGI:107202,MP:0005386,4812
ATM,472,30952,yes,Atm,MGI:107202,MP:0010768,4813
ATM,472,30952,yes,Atm,MGI:107202,MP:0005389,4814
ATM,472,30952,yes,Atm,MGI:107202,MP:0005378,4815
ATM,472,30952,yes,Atm,MGI:107202,MP:0005397,4816
ATM,472,30952,yes,Atm,MGI:107202,MP:0005385,4817
ATM,472,30952,yes,Atm,MGI:107202,MP:0005375,4818
ATM,472,30952,yes,Atm,MGI:107202,MP:0002006,4819
ATM,472,30952,yes,Atm,MGI:107202,MP:0005379,4820
ATM,472,30952,yes,Atm,MGI:107202,MP:0005384,4821
ATM,472,30952,yes,Atm,MGI:107202,MP:0005376,4822
ATM,472,30952,yes,Atm,MGI:107202,MP:0010771,4823
ATMIN,23300,35321,yes,Atmin,MGI:2682328,MP:0005376,4824
ATMIN,23300,35321,yes,Atmin,MGI:2682328,MP:0005384,4825
ATMIN,23300,35321,yes,Atmin,MGI:2682328,MP:0005382,4826
ATMIN,23300,35321,yes,Atmin,MGI:2682328,MP:0005379,4827
ATMIN,23300,35321,yes,Atmin,MGI:2682328,MP:0005378,4828
ATMIN,23300,35321,yes,Atmin,MGI:2682328,MP:0005388,4829
ATMIN,23300,35321,yes,Atmin,MGI:2682328,MP:0005386,4830
ATMIN,23300,35321,yes,Atmin,MGI:2682328,MP:0005380,4831
ATMIN,23300,35321,yes,Atmin,MGI:2682328,MP:0005390,4832
ATMIN,23300,35321,yes,Atmin,MGI:2682328,MP:0005367,4833
ATMIN,23300,35321,yes,Atmin,MGI:2682328,MP:0005387,4834
ATMIN,23300,35321,yes,Atmin,MGI:2682328,MP:0005391,4835
ATMIN,23300,35321,yes,Atmin,MGI:2682328,MP:0003631,4836
ATMIN,23300,35321,yes,Atmin,MGI:2682328,MP:0002006,4837
ATMIN,23300,35321,yes,Atmin,MGI:2682328,MP:0005397,4838
ATMIN,23300,35321,yes,Atmin,MGI:2682328,MP:0005385,4839
ATMIN,23300,35321,yes,Atmin,MGI:2682328,MP:0010768,4840
ATN1,1822,1461,yes,Atn1,MGI:104725,MP:0003631,4841
ATN1,1822,1461,yes,Atn1,MGI:104725,MP:0005371,4842
ATN1,1822,1461,yes,Atn1,MGI:104725,MP:0005390,4843
ATN1,1822,1461,yes,Atn1,MGI:104725,MP:0005386,4844
ATN1,1822,1461,yes,Atn1,MGI:104725,MP:0005385,4845
ATN1,1822,1461,yes,Atn1,MGI:104725,MP:0005389,4846
ATN1,1822,1461,yes,Atn1,MGI:104725,MP:0010768,4847
ATN1,1822,1461,yes,Atn1,MGI:104725,MP:0010771,4848
ATN1,1822,1461,yes,Atn1,MGI:104725,MP:0002873,4849
ATN1,1822,1461,yes,Atn1,MGI:104725,MP:0005379,4850
ATN1,1822,1461,yes,Atn1,MGI:104725,MP:0005375,4851
ATN1,1822,1461,yes,Atn1,MGI:104725,MP:0005376,4852
ATN1,1822,1461,yes,Atn1,MGI:104725,MP:0005378,4853
ATOH1,474,31297,yes,Atoh1,MGI:104654,MP:0005376,4854
ATOH1,474,31297,yes,Atoh1,MGI:104654,MP:0005384,4855
ATOH1,474,31297,yes,Atoh1,MGI:104654,MP:0005379,4856
ATOH1,474,31297,yes,Atoh1,MGI:104654,MP:0010771,4857
ATOH1,474,31297,yes,Atoh1,MGI:104654,MP:0002873,4858
ATOH1,474,31297,yes,Atoh1,MGI:104654,MP:0010768,4859
ATOH1,474,31297,yes,Atoh1,MGI:104654,MP:0005381,4860
ATOH1,474,31297,yes,Atoh1,MGI:104654,MP:0005377,4861
ATOH1,474,31297,yes,Atoh1,MGI:104654,MP:0003631,4862
ATOH1,474,31297,yes,Atoh1,MGI:104654,MP:0005388,4863
ATOH1,474,31297,yes,Atoh1,MGI:104654,MP:0005386,4864
ATOH7,220202,32338,yes,Atoh7,MGI:1355553,MP:0005391,4865
ATOH7,220202,32338,yes,Atoh7,MGI:1355553,MP:0003631,4866
ATOH7,220202,32338,yes,Atoh7,MGI:1355553,MP:0005386,4867
ATOH7,220202,32338,yes,Atoh7,MGI:1355553,MP:0002873,4868
ATOH7,220202,32338,yes,Atoh7,MGI:1355553,MP:0005385,4869
ATOH7,220202,32338,yes,Atoh7,MGI:1355553,MP:0005384,4870
ATOH8,84913,41893,yes,Atoh8,MGI:1918343,MP:0010768,4871
ATOX1,475,2984,yes,Atox1,MGI:1333855,MP:0005378,4872
ATOX1,475,2984,yes,Atox1,MGI:1333855,MP:0010771,4873
ATOX1,475,2984,yes,Atox1,MGI:1333855,MP:0005376,4874
ATOX1,475,2984,yes,Atox1,MGI:1333855,MP:0005388,4875
ATOX1,475,2984,yes,Atox1,MGI:1333855,MP:0005370,4876
ATOX1,475,2984,yes,Atox1,MGI:1333855,MP:0005386,4877
ATOX1,475,2984,yes,Atox1,MGI:1333855,MP:0001186,4878
ATOX1,475,2984,yes,Atox1,MGI:1333855,MP:0005385,4879
ATOX1,475,2984,yes,Atox1,MGI:1333855,MP:0010768,4880
ATOX1,475,2984,yes,Atox1,MGI:1333855,MP:0005391,4881
ATOX1,475,2984,yes,Atox1,MGI:1333855,MP:0003631,4882
ATP10A,57194,56461,yes,Atp10a,MGI:1330809,,4883
ATP10B,23120,70969,yes,Atp10b,MGI:2442688,,4884
ATP10D,57205,,yes,Atp10d,MGI:2450125,,4885
ATP11A,23250,75050,yes,Atp11a,MGI:1354735,MP:0005391,4886
ATP11A,23250,75050,yes,Atp11a,MGI:1354735,MP:0003631,4887
ATP11A,23250,75050,yes,Atp11a,MGI:1354735,MP:0005390,4888
ATP11A,23250,75050,yes,Atp11a,MGI:1354735,MP:0005387,4889
ATP11A,23250,75050,yes,Atp11a,MGI:1354735,MP:0005370,4890
ATP11A,23250,75050,yes,Atp11a,MGI:1354735,MP:0005388,4891
ATP11A,23250,75050,yes,Atp11a,MGI:1354735,MP:0005380,4892
ATP11A,23250,75050,yes,Atp11a,MGI:1354735,MP:0001186,4893
ATP11A,23250,75050,yes,Atp11a,MGI:1354735,MP:0010768,4894
ATP11A,23250,75050,yes,Atp11a,MGI:1354735,MP:0005378,4895
ATP11A,23250,75050,yes,Atp11a,MGI:1354735,MP:0005397,4896
ATP11A,23250,75050,yes,Atp11a,MGI:1354735,MP:0005385,4897
ATP11A,23250,75050,yes,Atp11a,MGI:1354735,MP:0005382,4898
ATP11A,23250,75050,yes,Atp11a,MGI:1354735,MP:0005369,4899
ATP11A,23250,75050,yes,Atp11a,MGI:1354735,MP:0005376,4900
ATP11A,23250,75050,yes,Atp11a,MGI:1354735,MP:0005379,4901
ATP11B,23200,32919,yes,Atp11b,MGI:1923545,,4902
ATP11C,286410,27862,yes,Atp11c,MGI:1859661,MP:0005376,4903
ATP11C,286410,27862,yes,Atp11c,MGI:1859661,MP:0002006,4904
ATP11C,286410,27862,yes,Atp11c,MGI:1859661,MP:0005387,4905
ATP11C,286410,27862,yes,Atp11c,MGI:1859661,MP:0005397,4906
ATP11C,286410,27862,yes,Atp11c,MGI:1859661,MP:0002873,4907
ATP12A,479,68197,yes,Atp12a,MGI:1926943,MP:0005378,4908
ATP12A,479,68197,yes,Atp12a,MGI:1926943,MP:0005376,4909
ATP12A,479,68197,yes,Atp12a,MGI:1926943,MP:0005367,4910
ATP12A,479,68197,yes,Atp12a,MGI:1926943,MP:0005381,4911
ATP13A1,57130,5791,yes,Atp13a1,MGI:2180801,,4912
ATP13A2,23400,56940,yes,Atp13a2,MGI:1922022,MP:0005384,4913
ATP13A2,23400,56940,yes,Atp13a2,MGI:1922022,MP:0005387,4914
ATP13A2,23400,56940,yes,Atp13a2,MGI:1922022,MP:0005386,4915
ATP13A2,23400,56940,yes,Atp13a2,MGI:1922022,MP:0005397,4916
ATP13A2,23400,56940,yes,Atp13a2,MGI:1922022,MP:0001186,4917
ATP13A2,23400,56940,yes,Atp13a2,MGI:1922022,MP:0003631,4918
ATP13A3,79572,23455,yes,Atp13a3,MGI:2685387,,4919
ATP13A4,84239,75330,yes,Atp13a4,MGI:1924456,,4920
ATP13A5,344905,77451,yes,Atp13a5,MGI:2444068,MP:0005397,4921
ATP13A5,344905,77451,yes,Atp13a5,MGI:2444068,MP:0003631,4922
ATP13A5,344905,77451,yes,Atp13a5,MGI:2444068,MP:0005387,4923
ATP1A1,476,564,yes,Atp1a1,MGI:88105,MP:0005386,4924
ATP1A1,476,564,yes,Atp1a1,MGI:88105,MP:0005385,4925
ATP1A1,476,564,yes,Atp1a1,MGI:88105,MP:0010768,4926
ATP1A1,476,564,yes,Atp1a1,MGI:88105,MP:0005376,4927
ATP1A1,476,564,yes,Atp1a1,MGI:88105,MP:0005369,4928
ATP1A2,477,47947,yes,Atp1a2,MGI:88106,MP:0003631,4929
ATP1A2,477,47947,yes,Atp1a2,MGI:88106,MP:0005385,4930
ATP1A2,477,47947,yes,Atp1a2,MGI:88106,MP:0002873,4931
ATP1A2,477,47947,yes,Atp1a2,MGI:88106,MP:0010768,4932
ATP1A2,477,47947,yes,Atp1a2,MGI:88106,MP:0005388,4933
ATP1A2,477,47947,yes,Atp1a2,MGI:88106,MP:0005386,4934
ATP1A2,477,47947,yes,Atp1a2,MGI:88106,MP:0005369,4935
ATP1A2,477,47947,yes,Atp1a2,MGI:88106,MP:0010771,4936
ATP1A3,478,113729,yes,Atp1a3,MGI:88107,MP:0005386,4937
ATP1A3,478,113729,yes,Atp1a3,MGI:88107,MP:0005388,4938
ATP1A3,478,113729,yes,Atp1a3,MGI:88107,MP:0005397,4939
ATP1A3,478,113729,yes,Atp1a3,MGI:88107,MP:0010768,4940
ATP1A3,478,113729,yes,Atp1a3,MGI:88107,MP:0003631,4941
ATP1A3,478,113729,yes,Atp1a3,MGI:88107,MP:0005387,4942
ATP1A3,478,113729,yes,Atp1a3,MGI:88107,MP:0005378,4943
ATP1A3,478,113729,yes,Atp1a3,MGI:88107,MP:0005369,4944
ATP1A3,478,113729,yes,Atp1a3,MGI:88107,MP:0005376,4945
ATP1A4,480,113769,yes,Atp1a4,MGI:1351335,MP:0005376,4946
ATP1A4,480,113769,yes,Atp1a4,MGI:1351335,MP:0005384,4947
ATP1A4,480,113769,yes,Atp1a4,MGI:1351335,MP:0005378,4948
ATP1A4,480,113769,yes,Atp1a4,MGI:1351335,MP:0005389,4949
ATP1B1,481,37509,yes,Atp1b1,MGI:88108,MP:0005385,4950
ATP1B1,481,37509,yes,Atp1b1,MGI:88108,MP:0010768,4951
ATP1B1,481,37509,yes,Atp1b1,MGI:88108,MP:0002873,4952
ATP1B1,481,37509,yes,Atp1b1,MGI:88108,MP:0005388,4953
ATP1B1,481,37509,yes,Atp1b1,MGI:88108,MP:0005376,4954
ATP1B1,481,37509,yes,Atp1b1,MGI:88108,MP:0005369,4955
ATP1B2,482,36075,yes,Atp1b2,MGI:88109,MP:0003631,4956
ATP1B2,482,36075,yes,Atp1b2,MGI:88109,MP:0005391,4957
ATP1B2,482,36075,yes,Atp1b2,MGI:88109,MP:0005386,4958
ATP1B2,482,36075,yes,Atp1b2,MGI:88109,MP:0010768,4959
ATP1B2,482,36075,yes,Atp1b2,MGI:88109,MP:0005384,4960
ATP1B3,483,37510,yes,Atp1b3,MGI:107788,,4961
ATP1B4,23439,22691,yes,Atp1b4,MGI:1915071,,4962
ATP23,91419,41699,yes,Atp23,MGI:1916984,,4963
ATP2A1,487,7635,yes,Atp2a1,MGI:105058,MP:0010768,4964
ATP2A1,487,7635,yes,Atp2a1,MGI:105058,MP:0005386,4965
ATP2A1,487,7635,yes,Atp2a1,MGI:105058,MP:0005388,4966
ATP2A1,487,7635,yes,Atp2a1,MGI:105058,MP:0005376,4967
ATP2A1,487,7635,yes,Atp2a1,MGI:105058,MP:0005369,4968
ATP2A2,488,80167,yes,Atp2a2,MGI:88110,MP:0002006,4969
ATP2A2,488,80167,yes,Atp2a2,MGI:88110,MP:0005385,4970
ATP2A2,488,80167,yes,Atp2a2,MGI:88110,MP:0005397,4971
ATP2A2,488,80167,yes,Atp2a2,MGI:88110,MP:0010768,4972
ATP2A2,488,80167,yes,Atp2a2,MGI:88110,MP:0005389,4973
ATP2A2,488,80167,yes,Atp2a2,MGI:88110,MP:0005386,4974
ATP2A2,488,80167,yes,Atp2a2,MGI:88110,MP:0005388,4975
ATP2A2,488,80167,yes,Atp2a2,MGI:88110,MP:0005380,4976
ATP2A2,488,80167,yes,Atp2a2,MGI:88110,MP:0005390,4977
ATP2A2,488,80167,yes,Atp2a2,MGI:88110,MP:0005367,4978
ATP2A2,488,80167,yes,Atp2a2,MGI:88110,MP:0005387,4979
ATP2A2,488,80167,yes,Atp2a2,MGI:88110,MP:0005381,4980
ATP2A2,488,80167,yes,Atp2a2,MGI:88110,MP:0005369,4981
ATP2A2,488,80167,yes,Atp2a2,MGI:88110,MP:0003631,4982
ATP2A2,488,80167,yes,Atp2a2,MGI:88110,MP:0005378,4983
ATP2A2,488,80167,yes,Atp2a2,MGI:88110,MP:0010771,4984
ATP2A2,488,80167,yes,Atp2a2,MGI:88110,MP:0005376,4985
ATP2A2,488,80167,yes,Atp2a2,MGI:88110,MP:0005384,4986
ATP2A3,489,69131,yes,Atp2a3,MGI:1194503,MP:0005369,4987
ATP2A3,489,69131,yes,Atp2a3,MGI:1194503,MP:0005385,4988
ATP2B1,490,55597,yes,Atp2b1,MGI:104653,MP:0005371,4989
ATP2B1,490,55597,yes,Atp2b1,MGI:104653,MP:0005381,4990
ATP2B1,490,55597,yes,Atp2b1,MGI:104653,MP:0005367,4991
ATP2B1,490,55597,yes,Atp2b1,MGI:104653,MP:0005390,4992
ATP2B1,490,55597,yes,Atp2b1,MGI:104653,MP:0005389,4993
ATP2B1,490,55597,yes,Atp2b1,MGI:104653,MP:0010768,4994
ATP2B1,490,55597,yes,Atp2b1,MGI:104653,MP:0010771,4995
ATP2B1,490,55597,yes,Atp2b1,MGI:104653,MP:0005385,4996
ATP2B1,490,55597,yes,Atp2b1,MGI:104653,MP:0005378,4997
ATP2B1,490,55597,yes,Atp2b1,MGI:104653,MP:0005369,4998
ATP2B1,490,55597,yes,Atp2b1,MGI:104653,MP:0005376,4999
ATP2B1,490,55597,yes,Atp2b1,MGI:104653,MP:0005379,5000
ATP2B2,491,56150,yes,Atp2b2,MGI:105368,MP:0005386,5001
ATP2B2,491,56150,yes,Atp2b2,MGI:105368,MP:0005389,5002
ATP2B2,491,56150,yes,Atp2b2,MGI:105368,MP:0005377,5003
ATP2B2,491,56150,yes,Atp2b2,MGI:105368,MP:0003631,5004
ATP2B2,491,56150,yes,Atp2b2,MGI:105368,MP:0005376,5005
ATP2B2,491,56150,yes,Atp2b2,MGI:105368,MP:0005378,5006
ATP2B2,491,56150,yes,Atp2b2,MGI:105368,MP:0005384,5007
ATP2B3,492,123775,yes,Atp2b3,MGI:1347353,,5008
ATP2B4,493,48034,yes,Atp2b4,MGI:88111,MP:0005386,5009
ATP2B4,493,48034,yes,Atp2b4,MGI:88111,MP:0005385,5010
ATP2B4,493,48034,yes,Atp2b4,MGI:88111,MP:0005389,5011
ATP2B4,493,48034,yes,Atp2b4,MGI:88111,MP:0005387,5012
ATP2B4,493,48034,yes,Atp2b4,MGI:88111,MP:0005369,5013
ATP2C1,27032,56672,yes,Atp2c1,MGI:1889008,MP:0010771,5014
ATP2C1,27032,56672,yes,Atp2c1,MGI:1889008,MP:0005378,5015
ATP2C1,27032,56672,yes,Atp2c1,MGI:1889008,MP:0005384,5016
ATP2C1,27032,56672,yes,Atp2c1,MGI:1889008,MP:0005380,5017
ATP2C1,27032,56672,yes,Atp2c1,MGI:1889008,MP:0002006,5018
ATP2C1,27032,56672,yes,Atp2c1,MGI:1889008,MP:0010768,5019
ATP2C1,27032,56672,yes,Atp2c1,MGI:1889008,MP:0003631,5020
ATP2C2,9914,73463,yes,Atp2c2,MGI:1916297,,5021
ATP4A,495,68081,yes,Atp4a,MGI:88113,MP:0005379,5022
ATP4A,495,68081,yes,Atp4a,MGI:88113,MP:0005376,5023
ATP4A,495,68081,yes,Atp4a,MGI:88113,MP:0005381,5024
ATP4A,495,68081,yes,Atp4a,MGI:88113,MP:0005397,5025
ATP4A,495,68081,yes,Atp4a,MGI:88113,MP:0005387,5026
ATP4B,496,20182,yes,Atp4b,MGI:88114,MP:0005376,5027
ATP4B,496,20182,yes,Atp4b,MGI:88114,MP:0005379,5028
ATP4B,496,20182,yes,Atp4b,MGI:88114,MP:0005381,5029
ATP5F1A,498,2985,yes,Atp5a1,MGI:88115,MP:0002006,5030
ATP5F1A,498,2985,yes,Atp5a1,MGI:88115,MP:0005378,5031
ATP5F1B,506,1273,yes,Atp5b,MGI:107801,MP:0005390,5032
ATP5F1B,506,1273,yes,Atp5b,MGI:107801,MP:0005371,5033
ATP5F1B,506,1273,yes,Atp5b,MGI:107801,MP:0010768,5034
ATP5F1C,509,3792,yes,Atp5c1,MGI:1261437,,5035
ATP5F1D,513,37514,yes,Atp5d,MGI:1913293,,5036
ATP5F1E,514,,yes,Atp5e,MGI:1855697,MP:0010768,5037
ATP5IF1,93974,40581,yes,Atpif1,MGI:1196457,MP:0005375,5038
ATP5IF1,93974,40581,yes,Atpif1,MGI:1196457,MP:0005378,5039
ATP5IF1,93974,40581,yes,Atpif1,MGI:1196457,MP:0005376,5040
ATP5MC1,516,38017,yes,Atp5g1,MGI:107653,,5041
ATP5MC2,517,57052,yes,Atp5g2,MGI:1915192,MP:0010768,5042
ATP5MC2,517,57052,yes,Atp5g2,MGI:1915192,MP:0005397,5043
ATP5MC2,517,57052,yes,Atp5g2,MGI:1915192,MP:0005391,5044
ATP5MC2,517,57052,yes,Atp5g2,MGI:1915192,MP:0005376,5045
ATP5MC3,518,133873,yes,Atp5g3,MGI:2442035,,5046
ATP5MD,84833,11331,yes,Usmg5,MGI:1891435,MP:0005397,5047
ATP5MD,84833,11331,yes,Usmg5,MGI:1891435,MP:0005386,5048
ATP5MD,84833,11331,yes,Usmg5,MGI:1891435,MP:0005387,5049
ATP5MD,84833,11331,yes,Usmg5,MGI:1891435,MP:0005390,5050
ATP5MD,84833,11331,yes,Usmg5,MGI:1891435,MP:0005378,5051
ATP5MD,84833,11331,yes,Usmg5,MGI:1891435,MP:0005375,5052
ATP5MD,84833,11331,yes,Usmg5,MGI:1891435,MP:0005376,5053
ATP5ME,521,137205,yes,Atp5k,MGI:106636,,5054
ATP5MF,9551,3594,yes,Atp5j2,MGI:1927558,,5055
ATP5MF-PTCD1,100526740,33161,yes,Ptcd1,MGI:1919049,MP:0005369,5056
ATP5MF-PTCD1,100526740,33161,yes,Ptcd1,MGI:1919049,MP:0005384,5057
ATP5MF-PTCD1,100526740,33161,yes,Ptcd1,MGI:1919049,MP:0005376,5058
ATP5MF-PTCD1,100526740,33161,yes,Ptcd1,MGI:1919049,MP:0010768,5059
ATP5MF-PTCD1,100526740,33161,yes,Ptcd1,MGI:1919049,MP:0005378,5060
ATP5MF-PTCD1,100526740,33161,yes,Ptcd1,MGI:1919049,MP:0005385,5061
ATP5MF-PTCD1,100526740,33161,yes,Ptcd1,MGI:1919049,MP:0005370,5062
ATP5MG,10632,86074,yes,Atp5l,MGI:1351597,MP:0005387,5063
ATP5MG,10632,86074,yes,Atp5l,MGI:1351597,MP:0005397,5064
ATP5MG,10632,86074,yes,Atp5l,MGI:1351597,MP:0010768,5065
ATP5MG,10632,86074,yes,Atp5l,MGI:1351597,MP:0005376,5066
ATP5MPL,9556,129848,yes,Atp5mpl,MGI:1917507,,5067
ATP5PB,515,1275,yes,Atp5f1,MGI:1100495,MP:0005387,5068
ATP5PB,515,1275,yes,Atp5f1,MGI:1100495,MP:0010768,5069
ATP5PB,515,1275,yes,Atp5f1,MGI:1100495,MP:0005397,5070
ATP5PD,10476,130552,yes,Atp5h,MGI:1918929,,5071
ATP5PF,522,1272,yes,Atp5j,MGI:107777,,5072
ATP5PO,539,1283,yes,Atp5o,MGI:106341,,5073
ATP5S,27109,12232,yes,Atp5s,MGI:1915305,MP:0005391,5074
ATP6,4508,5012,yes,mt-Atp6,MGI:99927,,5075
ATP6AP1,537,914,yes,Atp6ap1,MGI:109629,MP:0005380,5076
ATP6AP1,537,914,yes,Atp6ap1,MGI:109629,MP:0003631,5077
ATP6AP1,537,914,yes,Atp6ap1,MGI:109629,MP:0010768,5078
ATP6AP1L,92270,28130,yes,Atp6ap1l,MGI:3648665,,5079
ATP6AP2,10159,38097,yes,Atp6ap2,MGI:1917745,MP:0005384,5080
ATP6AP2,10159,38097,yes,Atp6ap2,MGI:1917745,MP:0005376,5081
ATP6AP2,10159,38097,yes,Atp6ap2,MGI:1917745,MP:0005369,5082
ATP6AP2,10159,38097,yes,Atp6ap2,MGI:1917745,MP:0005367,5083
ATP6AP2,10159,38097,yes,Atp6ap2,MGI:1917745,MP:0010768,5084
ATP6AP2,10159,38097,yes,Atp6ap2,MGI:1917745,MP:0005385,5085
ATP6V0A1,535,3795,yes,Atp6v0a1,MGI:103286,MP:0005385,5086
ATP6V0A1,535,3795,yes,Atp6v0a1,MGI:103286,MP:0010768,5087
ATP6V0A1,535,3795,yes,Atp6v0a1,MGI:103286,MP:0005375,5088
ATP6V0A2,23545,56523,yes,Atp6v0a2,MGI:104855,,5089
ATP6V0A4,50617,39904,yes,Atp6v0a4,MGI:2153480,MP:0005376,5090
ATP6V0A4,50617,39904,yes,Atp6v0a4,MGI:2153480,MP:0005378,5091
ATP6V0A4,50617,39904,yes,Atp6v0a4,MGI:2153480,MP:0010768,5092
ATP6V0A4,50617,39904,yes,Atp6v0a4,MGI:2153480,MP:0005394,5093
ATP6V0A4,50617,39904,yes,Atp6v0a4,MGI:2153480,MP:0005377,5094
ATP6V0A4,50617,39904,yes,Atp6v0a4,MGI:2153480,MP:0005390,5095
ATP6V0A4,50617,39904,yes,Atp6v0a4,MGI:2153480,MP:0005367,5096
ATP6V0A4,50617,39904,yes,Atp6v0a4,MGI:2153480,MP:0005386,5097
ATP6V0B,533,2986,yes,Atp6v0b,MGI:1890510,,5098
ATP6V0C,527,68199,yes,Atp6v0c,MGI:88116,MP:0010768,5099
ATP6V0C,527,68199,yes,Atp6v0c,MGI:88116,MP:0005380,5100
ATP6V0D1,9114,3444,yes,Atp6v0d1,MGI:1201778,MP:0005379,5101
ATP6V0D1,9114,3444,yes,Atp6v0d1,MGI:1201778,MP:0005367,5102
ATP6V0D1,9114,3444,yes,Atp6v0d1,MGI:1201778,MP:0005390,5103
ATP6V0D1,9114,3444,yes,Atp6v0d1,MGI:1201778,MP:0005397,5104
ATP6V0D1,9114,3444,yes,Atp6v0d1,MGI:1201778,MP:0005389,5105
